CNES,NOME,EQUIPES,ENDERECO,BAIRRO
7 - SAO CRISTOVAO,10,SMS RIO HOSPITAL MATERNIDADE FERNANDO MAGALHAES,GENERAL JOSE CRISTINO, 87
22 - ANCHIETA,106,SMS CMS AUGUSTO DO AMARAL PEIXOTO - AP 33,RUA JORNALISTA HERMANO REQUIAO, 447
16 - JACAREPAGUA,115,SMS HOSPITAL MUNICIPAL ALVARO RAMOS - AP 40,RUA ADAUTO BOTELHO, S/N
12 - INHAUMA,55,SMS CMS ARIADNE LOPES DE MENEZES - AP 32,RUA ENG CARLOS GONCALVES PENNA, S/N
16 - JACAREPAGUA,115,SMS RIO HOSPITAL RAPHAEL DE PAULA SOUZA,ESTRADA DE CURICICA, 2000
16 - JACAREPAGUA,115,SMS HOSPITAL MUNICIPAL JURANDYR MANFREDINI - AP 40,RUA SAMPAIO CORREIA, S/N
4 - BOTAFOGO,20,SMS RIO HOSPITAL MUNICIPAL ROCHA MAIA,GENERAL SEVERIANO, 91
19 - SANTA CRUZ,149,SMS CMS FLORIPES GALDINO PEREIRA - AP 53,RUA SRG GERALDO BERTI, 0
19 - SANTA CRUZ,149,SMS CMS ALOYSIO AMANCIO DA SILVA - AP 53,ESTRADA DO CURTUME, S/N
19 - SANTA CRUZ,149,SMS CMS CESARIO DE MELLO - AP 53,RUA 2, S/N
19 - SANTA CRUZ,148,SMS CMS EMYDIO CABRAL - AP 53,RUA IEDA SANTOS DELGADO, 3
19 - SANTA CRUZ,148,SMS CMS CYRO DE MELLO MANGUARIBA - AP 53,AVENIDA DO CANAL, S/N
20 - ILHA DO GOVERNADOR,97,SMS CMS MADRE TERESA DE CALCUTA - AP 31,AV ILHA DAS ENXADAS, 100
7 - SAO CRISTOVAO,10,SMS INST DE MEDICINA VETERINARIA JORGE VAITSMAN - AP10,AV. BARTOLOMEU DE GUSMAO, 1120
1 - PORTUARIA,4,SMS CMS FERNANDO A BRAGA LOPES CAJU - AP 10,RUA CARLOS SEIDL, 785
21-  PAQUETA,13,SMS CMS MANOEL ARTHUR VILLABOIM - AP 10,PRACA BOM JESUS, 40
23 - SANTA TERESA,5,SMS CMS OSWALDO CRUZ - AP 10,AV HENRIQUE VALADARES, 151
2 - CENTRO,5,SMS RIO HOSPITAL MUNICIPAL SOUZA AGUIAR,PRACA DA REPUBLICA, 111
19 - SANTA CRUZ,149,SMS POLICLINICA LINCOLN DE FREITAS FILHO - AP 53,RUA ALVARO ALBERTO, 601
6 - LAGOA,30,SMS CMS RODOLPHO PERISSE / VIDIGAL - AP 21,AV. PRESIDENTE JOAO GOULART, 735
13 - MEIER,62,SMS MATERNIDADE CARMELA DUTRA AP 32,RUA AQUIDABA, 1037
9 - VILA ISABEL,36,SMS CMS MARIA AUGUSTA ESTRELLA - AP 22,RUA VISCONDE DE SANTA ISABEL, 56
8 - TIJUCA,34,SMS CMS NICOLA ALBANO - AP 22,RUA BOA VISTA, 190
2 - CENTRO,5,SMS POLICLINICA ANTONIO RIBEIRO NETTO - AP 10,AV TREZE DE MAIO, 23
19 - SANTA CRUZ,149,SMS CF ERNANI DE PAIVA FERREIRA BRAGA - AP 53,AVENIDA JOAO XXIII, S/N
13 - MEIER,66,SMS RIO INSTITUTO MUNICIPAL NISE DA SILVEIRA AP 32,RUA RAMIRO MAGALHAES, 521
28 - JACAREZINHO,155,SMS CMS RENATO ROCCO - AP 32,RUA AIRES DE CASAL, S/N
13 - MEIER,61,SMS CMS CARLOS GENTILLE DE MELLO - AP 32,RUA BICUIBA, 181
19 - SANTA CRUZ,148,SMS CMS MARIA APARECIDA DE ALMEIDA - AP 53,PRACA ANTONIO MATTOS AREAS, S/N
20 - ILHA DO GOVERNADOR,93,SMS CMS NECKER PINTO - AP 31,ESTRADA RIO JEQUIA, 428
8 - TIJUCA,33,SMS CMS NILZA ROSA - AP 22,RUA CASTEL NUOVO, 150
5 - COPACABANA,24,SMS CMS JOAO BARROS BARRETO - AP 21,RUA TENREIRO ARANHA, S/N
3 - RIO COMPRIDO,8,SMS CMS MARCOLINO CANDAU - AP 10,RUA LAURA DE ARAUJO, 36
4 - BOTAFOGO,20,SMS INSTITUTO MUNICIPAL PHILIPPE PINEL - AP 21,AV VENCESLAU BRAS, 65
6 - LAGOA,29,SMS CMS PINDARO DE CARVALHO RODRIGUES - AP 21,AV PADRE LEONEL FRANCA, S/N
14 - IRAJA,76,SMS RIO HOSPITAL MUNICIPAL FRANCISCO DA SILVA TELLES,UBIRAJARA, 25
1 - PORTUARIA,3,SMS CMS JOSE MESSIAS DO CARMO - AP 10,RUA WALDEMAR DUTRA, 55
10 - RAMOS,41,SMS CMS MARIA CRISTINA ROMA PAUGARTTEN - AP 31,RUA JOAQUIM GOMES, S/N
19 - SANTA CRUZ,148,SMS CF JOAO BATISTA CHAGAS - AP 53,RUA PITOMBEIRAS, S/N
19 - SANTA CRUZ,150,SMS CF WALDEMAR BERARDINELLI - AP 53,RUA FREDERICO TROTA, S/N
9 - VILA ISABEL,35,SMS CMR OSCAR CLARK - AP 22,RUA GENERAL CANABARRO, 345
18 - CAMPO GRANDE,144,SMS HOSPITAL MUNICIPAL ROCHA FARIA - AP 52,AV CESARIO DE MELO, 3215
13 - MEIER,63,SMS RIO HOSPITAL MUNICIPAL SALGADO FILHO,ARQUIAS CORDEIRO, 370
11 - PENHA,43,SMS POLICLINICA JOSE PARANHOS FONTENELLE - AP 31,RUA LEOPOLDINA REGO, 700
31 - VIGARIO GERAL,49,SMS CMS NAGIB JORGE FARAH - AP 31,PRACA SOLDADO MICHEL CHEIB, S/N
16 - JACAREPAGUA,123,SMS CMS JORGE SALDANHA BANDEIRA DE MELLO - AP40,AVENIDA GEREMARIO DANTAS, 135
30 - COMPLEXO DA MARE,157,SMS CMS AMERICO VELOSO - AP 31,RUA GERSON FERREIRA, 100
25 - PAVUNA,114,SMS CMS NASCIMENTO GURGEL - AP 33,RUA MERCURIO, S/N
33 - REALENGO,139,SMS HOSPITAL MUNICIPAL ALBERT SCHWEITZER - AP 51,RUA NILOPOLIS, 329
13 - MEIER,66,SMS CMR ENG DENTRO - AP 32,RUA RAMIRO MAGALHAES, 521
13 - MEIER,63,SMS CMS CESAR PERNETTA - AP 32,RUA ANA BARBOSA, 21
16 - JACAREPAGUA,115,SMS POLICLINICA NEWTON BETHLEM - AP 40,RUA BARAO, 259
19 - SANTA CRUZ,149,SMS CMS DECIO AMARAL FILHO - AP 53,RUA CILON CUNHA BRUM, S/N
15 - MADUREIRA,82,SMS CMS MARIO OLINTO DE OLIVEIRA - AP 33,RUA FERRAZ, 2
24 - BARRA DA TIJUCA,132,SMS CMS HARVEY RIBEIRO DE SOUZA FILHO - AP 40,AVENIDA GUIOMAR NOVAES, 133
18 - CAMPO GRANDE,144,SMS CAPS PEDRO PELLEGRINO - AP 52,PRACA MAJOR VIEIRA DE MELO, 10
19 - SANTA CRUZ,149,SMS CAPS SIMAO BACAMARTE - AP 53,R SENADOR CAMARA, 224
33 - REALENGO,137,SMS CAPSI PEQUENO HANS - AP 51,AVENIDA CARLOS PONTES, S/N
23 - SANTA TERESA,14,SMS CMS ERNANI AGRICOLA - AP 10,RUA CONSTANT JARDIM, 8
4 - BOTAFOGO,18,SMS CMS MANOEL JOSE FERREIRA - AP 21,RUA SILVEIRA MARTINS, 161
8 - TIJUCA,33,SMS CMS CARLOS FIGUEIREDO FILHO / BOREL - AP 22,RUA SAO MIGUEL, S/N
19 - SANTA CRUZ,148,SMS CMS SAVIO ANTUNES / ANTARES - AP 53,AVENIDA HERMINIA AURELIO SAMPAIO, 105
17 - BANGU,141,SMS CAPS LIMA BARRETO - AP 51,AVENIDA RIBEIRO DANTAS, 571
14 - IRAJA,76,SMS CAPS RUBENS CORREA - AP 33,RUA CAPITAO ALIATAR MARTINS, 231
33 - REALENGO,139,SMS CF ANTONIO GONCALVES DA SILVA - AP 51,ESTRADA DO ENGENHO NOVO, S/N
33 - REALENGO,138,SMS CMS BUA BOANERGES BORGES DA FONSECA - AP 51,RUA LARANJEIRAS DO SUL, S/N
17 - BANGU,141,SMS CF ROSINO BACCARINI - AP 51,RUA ARAQUEM, 840
33 - REALENGO,139,SMS CASA DE PARTO DAVID CAPISTRANO FILHO - AP 51,AVENIDA PEDRO DA CUNHA, S/N
20 - ILHA DO GOVERNADOR,97,SMS CAPS ERNESTO NAZARETH - AP 31,AVENIDA PARANAPUAN, 435
16 - JACAREPAGUA,115,SMS CMS RAPHAEL DE PAULA SOUZA - AP 40,ESTRADA DE CURICICA, 2000
16 - JACAREPAGUA,122,SMS CAPSI ELIZA SANTA ROZA - AP 40,RUA SAMPAIO CORREA, 105
18 - CAMPO GRANDE,146,SMS CAPS PROFETA GENTILEZA - AP 52,ESTRADA DE INHOAIBA, 849
18 - CAMPO GRANDE,146,SMS CF ANA GONZAGA - AP 52,PRACA JOAO WESLEY, 7
18 - CAMPO GRANDE,147,SMS CF VALDECIR SALUSTIANO CARDOZO - AP 52,PRACA MANOEL MARIZ, S/N
26 - GUARATIBA,151,SMS CF ALKINDAR SOARES PEREIRA FILHO - AP 52,ESTRADA DA PEDRA, S/N
11 - PENHA,44,SMS CMS JOAO CANDIDO - AP 31,AV. LOBO JR., 83
29 - COMPLEXO DO ALEMAO,156,SMS CF ZILDA ARNS - AP 31,ESTRADA ITARARE, 951
19 - SANTA CRUZ,150,SMS CF VALERIA GOMES ESTEVES - AP 53,RUA VITORIA REGIA, Q. 4
9 - VILA ISABEL,36,SMS CF RECANTO DO TROVADOR - AP 22,RUA VISCONDE DE SANTA ISABEL, 272
6 - LAGOA,31,SMS CMS VILA CANOAS - AP 21,ESTRADA DAS CANOAS, 610
33 - REALENGO,139,SMS CF ARMANDO PALHARES AGUINAGA - AP 51,AV SANTA CRUZ, S/N
34 - CIDADE DE DEUS,118,SMS CMS HAMILTON LAND - AP 40,AV EDGARD WERNECK, 1601
16 - JACAREPAGUA,122,SMS CAPS ARTHUR BISPO DO ROSARIO - AP 40,ESTRADA RODRIGUES CALDAS, 3400
25 - PAVUNA,111,SMS CF ENFERMEIRA EDMA VALADAO - AP 33,AV. BRASIL, 18.476
18 - CAMPO GRANDE,146,SMS CF DAVID CAPISTRANO FILHO - AP 52,AVENIDA CESARIO DE MELO, S/N
11 - PENHA,44,SMS CF ALOYSIO AUGUSTO NOVIS - AP 31,AVENIDA BRAS DE PINA, 651
11 - PENHA,42,SMS CAPS FERNANDO DINIZ - AP 31,RUA LEOPOLDINA REGO, 754
22 - ANCHIETA,106,SMS CAPS DIRCINHA E LINDA BATISTA - AP 33,RUA JORNALISTA HERMANO REQUIAO, 447
25 - PAVUNA,110,SMS CMS FAZENDA BOTAFOGO - AP 33,RUA ARNALDO GUINLE, S/N
25 - PAVUNA,114,SMS CMS PORTUS E QUITANDA - AP 33,RUA JORGE NOGUEIRA, S/N
13 - MEIER,68,SMS CAPS CLARICE LISPECTOR - AP 32,RUA DOIS DE FEVEREIRO, 785
8 - TIJUCA,33,SMS CMS CASA BRANCA - AP 22,ESTRADA DA CASA BRANCA, 200
13 - MEIER,68,SMS CAPS AD RAUL SEIXAS - AP 32,RUA DOIS DE FEVEREIRO, 785
15 - MADUREIRA,83,SMS CF SOUZA MARQUES - AP 33,PRACA PATRIARCA, S/N
13 - MEIER,69,SMS CAPSI MARIA CLARA MACHADO - AP 32,RUA GOMES SERPA, 49
10 - RAMOS,39,FIOCRUZ/ENSP/CENTRO DE SAUDE ESCOLA GERMANO SINVAL FARIA,RUA LEOPOLDO BULHOES, 1480
31 - VIGARIO GERAL,48,SMS CMS IRACI LOPES - AP 31,RUA ANTONIO MENDES, 2
24 - BARRA DA TIJUCA,130,SMS CMS NOVO PALMARES - AP 40,RUA JACARANDA, 16
16 - JACAREPAGUA,115,SMS CMS SANTA MARIA - AP 40,ESTRADA DO RIO PEQUENO, S/N
20 - ILHA DO GOVERNADOR,103,SMS CMS PARQUE ROYAL - AP 31,RUA JORNALISTA ALAIDE PIRES, 25
30 - COMPLEXO DA MARE,157,SMS CF ADIB JATENE - AP 31,AVENIDA BENTO RIBEIRO DANTAS, S/N
30 - COMPLEXO DA MARE,157,SMS CMS VILA DO JOAO - AP 31,RUA 17, S/N
2 - CENTRO,5,SMS NUCLEO DE SAUDE DO TRABALHADOR NUSAT 1 - AP 10,AVENIDA PRESIDENTE VARGAS, 1997
9 - VILA ISABEL,32,SMS NUCLEO DE SAUDE DO TRABALHADOR NUSAT 2 - AP 22,RUA GENERAL CANABARRO, 345
17 - BANGU,141,SMS CMS CATIRI - AP 51,RUA TRES MARIAS, S/N
17 - BANGU,141,SMS CF MARIA JOSE DE SOUSA BARBOSA - AP 51,ESTRADA DO TAQUARAL, 100
13 - MEIER,57,SMS CMS TIA ALICE - AP 32,R SANTOS MELLO, 73
18 - CAMPO GRANDE,144,SMS CF AGENOR DE MIRANDA ARAUJO NETO - AP 52,ESTRADA DO MATO ALTO, S/N
23 - SANTA TERESA,5,SMS CSE LAPA - AP 10,RUA DO RIACHUELO, 43
18 - CAMPO GRANDE,147,SMS CMS VILA DO CEU - AP 52,RUA GUARUJA, 69
25 - PAVUNA,111,SMS HOSPITAL MUNICIPAL RONALDO GAZOLLA - AP 33,AV PASTOR MARTIN LUTHER KING, 10976
13 - MEIER,54,SMS CAPS TORQUATO NETO - AP 32,RUA HONORIO, 461
14 - IRAJA,76,SMS CMS ALICE TOLEDO TIBIRICA - AP 33,RUA JURITI, S/N
30 - COMPLEXO DA MARE,157,SMS CF AUGUSTO BOAL - AP 31,AV. GUILHERME MAXWEL, 107
17 - BANGU,141,SMS CF FIORELLO RAYMUNDO - AP 51,RUA ACAFRAO, S/N
13 - MEIER,57,SMS CF DONA ZICA - AP 10,RUA JOAO RODRIGUES, 43
3 - RIO COMPRIDO,8,SMS CSE SAO FRANCISCO DE ASSIS - AP 10,RUA AFONSO CAVALCANTI, 20
19 - SANTA CRUZ,150,SMS CMS ADELINO SIMOES - NOVA SEPETIBA - AP 53,AVENIDA SETE, S/N
3 - RIO COMPRIDO,7,SMS CF ESTACIO DE SA - AP 10,RUA DO BISPO, 159
18 - CAMPO GRANDE,144,SMS CMS CARLOS ALBERTO NASCIMENTO - AP 52,PRACA MAJOR VIEIRA DE MELO, 0
18 - CAMPO GRANDE,147,SMS CF ROGERIO ROCCO - AP 52,ESTRADA DO ENCANAMENTO, S/N
18 - CAMPO GRANDE,146,SMS CMS AGUIAR TORRES - AP 52,ESTRADA DE INHOAIBA, 849
25 - PAVUNA,111,SMS CF MARCOS VALADAO - AP 33,AV. PASTOR MARTIN LUTHER KING JR, 10976
13 - MEIER,62,SMS CMS ANTENOR NASCENTES - AP 32,RUA PROFESSOR ANTENOR NASCENTES, 125
9 - VILA ISABEL,35,SMS CAPS AD MANE GARRINCHA - AP 22,AVENIDA PROFESSOR MANOEL DE ABREU, 196
18 - CAMPO GRANDE,144,SMS CAPSI JOAO DE BARRO - AP 52,ESTRADA DO CAMPINHO, S/N
4 - BOTAFOGO,20,SMS CF SANTA MARTA - AP 21,RUA SAO CLEMENTE, 312
17 - BANGU,140,SMS CF OLIMPIA ESTEVES - AP 51,RUA OLIMPIA ESTEVES, S/N
7 - SAO CRISTOVAO,12,SMS UPA 24H MANGUINHOS - AP 31,AV DOM HELDER CAMARA, 1390
17 - BANGU,162,SMS UPA 24H VILA KENNEDY - AP 51,PRACA DOLOMITAS, S/N
5 - COPACABANA,24,SMS CF CANTAGALO PAVAO - PAVAOZINHO - AP 21,LADEIRA SAINT ROMAN, 172
27 - ROCINHA,154,SMS CF MARIA DO SOCORRO / ROCINHA - AP 21,ESTRADA DA GAVEA, 522
6 - LAGOA,31,SMS CF RINALDO DE LAMARE - AP 21,AV. NIEMEYER, 776
27 - ROCINHA,154,SMS UPA 24H ROCINHA - AP 21,ESTRADA DA GAVEA, 522
29 - COMPLEXO DO ALEMAO,40,SMS UPA 24H COMPLEXO DO ALEMAO - AP 31,ESTRADA DO ITARARE, 221
28 - JACAREZINHO,155,SMS CF VICTOR VALLA - AP 31,AVENIDA DOM HELDER CAMARA, 1390
29 - COMPLEXO DO ALEMAO,156,SMS CF RODRIGO Y AGUILAR ROIG - AP 31,ESTRADA DO ITARARE, 650
29 - COMPLEXO DO ALEMAO,156,SMS CAPS JOAO FERREIRA SILVA FILHO - AP 31,ESTRADA DO ITARARE, 951
27 - ROCINHA,154,SMS CAPS MARIA DO SOCORRO SANTOS - AP 21,ESTRADA DA GAVEA, 522
19 - SANTA CRUZ,148,SMS CF ILZO MOTTA DE MELLO - AP 53,AVENIDA CESARIO DE MELO, 11485
19 - SANTA CRUZ,149,SMS CF LENICE MARIA MONTEIRO COELHO - AP 53,RUA JOSE CARLOS MATTA MACHADO, S/N
20 - ILHA DO GOVERNADOR,101,SMS CF MARIA SEBASTIANA DE OLIVEIRA - AP 31,AVENIDA DOS MAGISTERIOS, S/N
22 - ANCHIETA,106,SMS CF JOSUETE SANTANNA DE OLIVEIRA - AP 33,RUA LUIZ COUTINHO CAVALCANTI, S/N
19 - SANTA CRUZ,148,SMS CF LOURENCO DE MELLO - AP 53,RUA CORONEL TITO PORTO CARRERO, S/N
34 - CIDADE DE DEUS,118,SMS UPA 24H CIDADE DE DEUS - AP 40,RUA EDGAR WERNECK, S/N
19 - SANTA CRUZ,149,SMS CF JOSE ANTONIO CIRAUDO - AP 53,AVENIDA AREIA BRANCA, 1428
19 - SANTA CRUZ,149,SMS UPA 24 H JOAO XXIII - AP 53,AV. JOAO XXIII, S/N
19 - SANTA CRUZ,149,SMS CF SERGIO AROUCA - AP 53,RUA DO IMPERIO, S/N
19 - SANTA CRUZ,148,SMS CF HELANDE DE MELLO GONCALVES - AP 53,ESTRADA DE PACIENCIA, S/N
19 - SANTA CRUZ,148,SMS CF JAMIL HADDAD - AP 53,RUA SOLDADO JOAO ROTELO, S/N
13 - MEIER,66,SMS UPA 24 H ENGENHO DE DENTRO - AP 32,RUA BERNARDO, S/N
5 - COPACABANA,23,SMS CMS CHAPEU MANG BABILONIA - AP 21,RUA SAO FRANCISCO, 5
26 - GUARATIBA,151,SMS CF JOSE DE PAULA LOPES PONTES - AP 52,RUA JABURU, S/N
26 - GUARATIBA,151,SMS CF HANS JURGEN FERNANDO DOHMANN - AP 52,ESTRADA DO PIAI, S/N
19 - SANTA CRUZ,149,SMS CF DEOLINDO COUTO - AP 53,RUA SANTO AUGURIO, 40
15 - MADUREIRA,83,SMS UPA 24H MADUREIRA - AP 33,PRACA DOS LAVRADORES, S/N
11 - PENHA,45,SMS CF HEITOR DOS PRAZERES - AP 31,RUA IGUAPERIBA, 0
11 - PENHA,43,SMS CF FELIPPE CARDOSO - AP 31,AVENIDA NOSSA SENHORA DA PENHA, 42
11 - PENHA,43,SMS CMS SAO GODOFREDO - AP 31,RUA SAO GODOFREDO, 45
19 - SANTA CRUZ,149,SMS CF EDSON ABDALLA SAAD - AP 53,AVENIDA CESARIO DE MELO, 25
26 - GUARATIBA,151,SMS CF DALMIR DE ABREU SALGADO - AP 52,ESTRADA DO MAGARCA, 1831
25 - PAVUNA,113,SMS UPA 24H COSTA BARROS - AP 33,EST. BOTAFOGO, S/N
12 - INHAUMA,56,SMS CF HERBERT JOSE DE SOUZA - AP 32,AVENIDA PASTOR MARTIN LUTHER KING JUNIOR, 4776
19 - SANTA CRUZ,149,SMS CF SAMUEL PENHA VALLE - AP 53,AV. CESARIO DE MELO, 12574
13 - MEIER,61,SMS CF IZABEL DOS SANTOS - AP 32,RUA DOIS DE MAIO, 220
13 - MEIER,63,SMS PADI SALGADO FILHO - AP 32,RU ASANTA FE, S/N
2 - CENTRO,5,SMS PADI SOUZA AGUIAR,RUA MONCORVO FILHO, 10
6 - LAGOA,27,SMS PADI MIGUEL COUTO - AP 21,RUA MARIO RIBEIRO, 80
3 - RIO COMPRIDO,8,SMS PS CASS - AP 10,RUA AFONSO CAVALCANTE, 455
13 - MEIER,58,SMS CF ANNA NERY - AP 32,RUA ANA NERI COM RUA GENERAL BELFORD, S/N
24 - BARRA DA TIJUCA,130,SMS CF MAURY ALVES DE PINHO - AP 40,ESTRADA DOS BANDEIRANTES, 11227
6 - LAGOA,26,SMS COORD DE EMERGENCIA REGIONAL CER LEBLON - AP 21,RUA MARIO RIBEIRO, 1080
2 - CENTRO,5,SMS COORD DE EMERGENCIA REGIONAL CER CENTRO - AP 10,RUA FREI CANECA, S/N
