Localidade,Quantidade Famílias Sem Registro Civil,Quantidade Famílias Cadastrado,Quantidade Famílias Total
MARE,0,12,12
MARE4,0,1,1
MARE BAIXA,0,1,1
MARE BONSUCESSO,0,5,5
MARECHA,0,1,1
MARECHAEL HERMES,0,1,1
MARECHA HERMES,0,1,1
MARECHAL,0,6,6
MARECHAL HEMES,0,1,1
MARECHAL HERM,0,1,1
MARECHAL HERME,0,1,1
MARECHALHERMES,0,1,1
MARECHAL HERMES,0,2,2
MARECHAL HERMESRUA,0,1,1
MARECHAL HERMESS,0,1,1
MARECHAL HERNES,0,1,1
MARECHAL HERTMES,0,1,1
MARECHL HERMES,0,1,1
MAREE,0,1,1
MAREHAL HERMES,0,1,1
MARE NOVA HOLANDA BONSUCESSO,0,1,1
MARE PISCINAO DE RAMOS,0,1,1
MARER,0,3,3
MARE RAMOS,0,7,7
MARE VILA DO JOAO,0,1,1
MARE VILA DOS PINHEIROS,0,1,1
MARIA DA GRAA,0,1,1
MARIA DA GRACA,0,264,264
MARIA DA GRACAS,0,1,1
MARIA DAS GRACAS,0,1,1
MARIA GRACA,0,2,2
MARIOPOLIS,0,1,1
MARUREIRA,0,1,1
MATRE,0,1,1
MAUREIRA,0,2,2
MDUREIRA,0,1,1
MEIER,0,1,1
MEIR,0,1,1
MERE,0,2,2
MIER,0,1,1
MILENA APARECIDA FABIANA,0,1,1
MJARECHAL HERMES,0,1,1
MNAGUEIRA,0,4,4
MONERO,0,47,47
MORRO DA PROVIDENCIA,0,1,1
MSDUREIRA,0,1,1
MUZEMA,0,2,2
NACIONAL,0,2,2
NADUREIRA,0,3,3
NAGALHAES BASTOS,0,1,1
NIL,0,1,1
NOGUEIRA,0,1,1
NOSSA SENHORA DAS GRACAS,0,3,3
NOVA ALIANCA,0,1,1
NOVA BRASILIA,0,2,2
NOVA HOLANA BONSUCESSO,0,1,1
NOVA HOLANDA,0,17,17
NOVA HOLANDA MARE,0,1,1
NOVA IGUACU,0,1,1
NOVA SEPETIBA,0,7,7
NOVA SEPETIBA 1,0,1,1
OLARIA,0,2,2
OLARIIA,0,1,1
OLARIO,0,1,1
OMPLEXO DO ALEMAO,0,1,1
ONHOAIBA,0,1,1
ORACA SECA,0,1,1
OS,0,1,1
OSMAR MARQUES DOS SANTOS,0,1,1
OS VALDO CRUZ,0,1,1
OSVALDO CRUZ,0,9,9
OSWALDO,0,1,1
OSWALDO CRU,0,1,1
OSWALDO CRUS,0,1,1
OSWALDO CRUZ,0,1,1
OSWALDO CRUZR,0,1,1
OSWALDO CUZ,0,1,1
OSWALDOMCRUZ,0,1,1
Localidade nÃ£o preenchida,0,3,3
P0ACIENCIA,0,1,1
P0RTUGUESA,0,1,1
PA,0,1,1
PAARQUE ANCHIETA,0,1,1
PABUNA,0,1,1
PAC,0,1,1
PACA SECA,0,1,1
PACEICNIA,0,1,1
PACEIENCIA,0,1,1
PACEINCIA,0,2,2
PACENCIA,0,3,3
PACI,0,2,2
PACIANCIA,0,1,1
PACIE,0,3,3
PACIECIA,0,9,9
PACIECNIA,0,2,2
PACIEENCIA,0,1,1
PACIEN,0,1,1
PACIENCA,0,2,2
PACIENCAI,0,1,1
PACIENCI,0,3,3
PACIENCIA,0,18,18
PACIE NCIA,0,3,3
PACIENCIAESTRADA,0,1,1
PACIENCIA NOVA JERSEY,0,1,1
PACIENCIAP,0,1,1
PACIENCIARUA,0,8,8
PACIENCIA RUA,0,1,1
PACIENCIASANTA CRUZ,0,1,1
PACIENCOA,0,1,1
PACIENIA,0,3,3
PACIENICA,0,2,2
PACIENTE,0,1,1
PACINCIA,0,10,10
PACINECIA,0,1,1
PACIOENCIA,0,1,1
PADRE,0,8,8
PADRE MGIUEL,0,1,1
PADRE MGUEL,0,1,1
PADRE MIGUEL,0,6,6
PADRE MIGUELRU,0,1,1
PADRTE MIGUEL,0,1,1
PAICENCIA,0,1,1
PALMARES,0,7,7
PAQUE,0,1,1
PAQUETA,0,479,479
PAR,0,1,1
PARADA,0,1,1
PARADA DE LUCAS,0,2,2
PARADA DE LUCASRUA,0,1,1
PARADA DE LUZ,0,1,1
PARADA LUCAS,0,6,6
PARADAS DE LUCAS,0,5,5
PARDA DE LUCAS,0,4,4
PARQU,0,1,1
PARQUE,0,2,2
PARQUE AANCHIETA,0,1,1
PARQUE ALEGRIA,0,1,1
PARQUE ANCHEITA,0,8,8
PARQUE ANCHIETA,0,1,1
PARQUE ANCHIETAR,0,1,1
PARQUE ANCHITA,0,1,1
PARQUE ANCHYIETA,0,1,1
PARQUE ANHIETA,0,1,1
PARQUE COLUMBI,0,1,1
PARQUE COLUMBIA,0,1,1
PARQUE COLUMBUIA,0,1,1
PARQUE DA CIDADE,0,17,17
PARQUE EVEREST,0,1,1
PARQUE MARE,0,1,1
PARQUE OSVALDO CRUZ,0,2,2
PARQUE PROLETARIO DA PENHA,0,2,2
PARQUE UNIAO,0,6,6
PARQUQ ANCHIETA,0,1,1
PAUNA,0,1,1
PAVUINA,0,1,1
PAVUNA,1,7,7
PAVUN A,0,1,1
PCIANECIA,0,1,1
PCIENCIA,0,3,3
PECHICHA,0,1,1
PECHINCA,0,25,25
PECHINCHA,0,807,807
PECHINCHA JPA,0,2,2
PECHINHCA,0,1,1
PEDRA DE GUARAMAR,0,1,1
PEDRA DE GUARATAIBA,0,2,2
PEDRA DEGUARATIBA,0,1,1
PEDRA DE GUARATIBA,0,1,1
PEDRA DE GUARTIBA,0,2,2
PEDRA DE GURATIBA,0,3,3
PEDRA GUARATIBA,0,4,4
PEDRA GUARTIBA,0,1,1
PEDREIRA,0,2,2
PELCHINCHA,0,2,2
PENAH,0,1,1
PENDURA SAIA,0,1,1
PENH,0,1,1
PENHA,0,8,8
PENHA CICULAR,0,1,1
PENHA CIIRCULAR,0,2,2
PENHA CIR,0,1,1
PENHA CIRCILAR,0,2,2
PENHA CIRCLAR,0,3,3
PENHA CIRCULA,0,1,1
PENHA CIRCULAR,0,4,4
PENHA CIRCULAS,0,1,1
PENHA CIRSULAR,0,1,1
PENHA CIRUCLAR,0,1,1
PENHA CRCULAR,0,1,1
PENHA CRICULAR,0,3,3
PERA DE GUARATIBA,0,1,1
PIALRES,0,2,2
PIDADE,0,1,1
PIE,0,1,1
PIEADE,0,1,1
PIEDADE,0,5,5
PIEDADEE,0,1,1
PIEDADES,0,1,1
PIEDAE,0,6,6
PIEDFADE,0,1,1
PILAREES,0,2,2
PILARES,0,2,2
PILRES,0,3,3
PINHEIRO,0,5,5
PINHEIROS,0,1,1
PINTANGUEIRAS,0,1,1
PINTO TELES,0,1,1
PISCINAO,0,1,1
PISCINAO RAMOS,0,1,1
PIS DE RAMOS,0,1,1
PITANGUEIRA,0,16,16
PITANGUEIRAS,0,615,615
PITANGUEIRASRU,0,1,1
PITANGUERAS,0,1,1
PITANMGUEIRAS,0,1,1
PITANNGUEIRAS,0,1,1
PLARES,0,1,1
PORT,0,2,2
PORTUGUESA,0,857,857
PQUE COLUMBIA,0,1,1
PRA,0,3,3
PRAA DA BANDEIRA,0,1,1
PRACA,0,1,1
PRACA DA BANDEIRA,0,284,284
PRACA DA BIBLIA,0,1,1
PRACA ONZE,0,2,2
PR ACA SECA,0,1,1
PRACA SECA,0,5,5
PRACA SECA MATO ALTO,0,1,1
PRAC SECA,0,1,1
PRAIA DA BANDEIRA,0,66,66
PRAIA DE RAMOS,0,1,1
PRA SECA,0,1,1
PROVIDENCIA,0,3,3
PROXIMO,0,1,1
PSCIENCIA,0,2,2
PTRACA SECA,0,1,1
P U,0,1,1
PVAUNA,0,1,1
QUARATIBA,0,1,1
QUINLTINO BOCAIUVA,0,1,1
QUINTANILHA,0,1,1
QUINTINHO BOCAIUVA,0,1,1
QUINTINI BOCAIUVA,0,4,4
QUINTINIO BOCAIUVA,0,1,1
QUINTINO,0,62,62
QUINTINO BACAIUVA,0,2,2
QUINTINO BOCAIUVA,0,1,1
QUINTINO BOCAIVA,0,8,8
QUINTINO BOCAQIUVA,0,1,1
QUINTINO BOCAUIVA,0,2,2
QUINTINO BOLCAIUVA,0,1,1
QUINTINO BOVAIUVA,0,1,1
QUINTINO DE BOCAIUVA,0,9,9
QUINTINO GBOCAIUVA,0,1,1
QUINTINO QUINTINO,0,2,2
QUINTUINO BOCAIUVA,0,1,1
QUIONTINO BOCAIUVA,0,1,1
Localidade nÃ£o preenchida,0,1,1
R0CHA,0,2,2
RAELENGO,0,1,1
RALENGO,0,1,1
RAMO,0,1,1
RAMOS,0,2,2
RA MOS,0,1,1
RAMOS PISCINAO,0,3,3
RAQUEL UNIAO,0,1,1
RE,0,1,1
REA,0,3,3
REAELNGO,0,1,1
REAENGO,0,5,5
REAL,0,1,1
REALAENGO,0,2,2
REALEGO,0,2,2
REALENG0,0,1,1
REALENGO,0,16,16
REALENGO BATAN,0,3,3
REALENGOCENTRO,0,1,1
REALENGOI,0,1,1
REALENGORU,0,1,1
REALENNGO,0,1,1
REALENO,0,1,1
REALIDADE,0,1,1
REALLENGO,0,1,1
REALNGO,0,2,2
REALRNGO,0,1,1
RECREIO,0,44,44
RECREIO DE BANDEIRANTES,0,9,9
RECREIO DO BANDEIRANTES,0,1,1
RECREIO DOS BADEIRANTES,0,1,1
RECREIO DOS BAMNDEIRANTES,0,1,1
RECREIO DOS BANDEIERANTES,0,1,1
RECREIO DOS BANDEIRANTE,0,11,11
RECREIO DOS BANDEIRANTES,0,2,2
RECREIO DOS BANDEIRANTESRUA,0,6,6
RECREIO DOS BANDEIRANTRS,0,1,1
RECREIO DOS BANDEIRATES,0,1,1
RECREIO DOS BANDEIREANTES,0,1,1
RECREIO DOS BANDREIRANTGES,0,1,1
RECRIO DOS BANDEIRANTES,0,1,1
REEALENGO,0,1,1
RELAENGO,0,2,2
RELANEGO,0,3,3
RELENGO,0,7,7
RERALENGO,0,1,1
RIACARDO DE ALBUQUERQUE,0,2,2
RIACHELO,0,1,1
RIACHOELO,0,1,1
RIACHUELO,0,437,437
RIACHULEO,0,1,1
RIBEIRA,0,43,43
RIC,0,1,1
RICAR,0,1,1
RICARDO,0,6,6
RICARDO ALBOQUERQUE,0,2,2
RICARDO ALBUQUERQUE,0,19,19
RICARDO ALBURQUERQUE,0,1,1
RICARDO DE,0,3,3
RICARDO DE ALBOQUERQUE,0,3,3
RICARDO DE ALBUQERQUE,0,3,3
RICARDO DE ALBUQEUERQUE,0,2,2
RICARDO DE ALBUQUERQ,0,1,1
RICARDO DE ALBUQUERQE,0,1,1
RICARDO DE ALBUQUERQUE,0,2,2
RICARDO DE ALBUQUERQUER,0,1,1
RICARDO DE ALBUQUERQUERUA,0,1,1
RICARDO DE ALBUQUERQUE RUA,0,1,1
RICARDO DE ALBUQUERQUUE,0,1,1
RICARDO DE ALBUQUERUE,0,1,1
RICARDO DE ALBUQUERUQE,0,1,1
RICARDO DE ALBUQUERUQUE,0,1,1
RICARDO DE ALBURQUEQUE,0,1,1
RICARDO DE ALBURQUERQUE,0,2,2
RICARDO DE ALBUUQERQUE,0,1,1
RICARDO DE ALUBUQUERQUE,0,2,2
RICARDO DE ALUQUERQUE,0,1,1
RICARDO DE LABUQUERQUE,0,1,1
RICARDO DE QALBUQUERQUE,0,1,1
RICHUAELO,0,1,1
RICICARDO DE ALBUQUERQUE,0,1,1
RI COMPRIDO,0,1,1
RIO,0,1,1
RIO COMPRDO,0,1,1
RIO COMPREIDO,0,1,1
RIO COMPRI,0,1,1
RIO COMPRIDO,0,3,3
RIO COM PRIDO,0,1,1
RIO COMRPDIO,0,1,1
RIO COMRPIDO,0,2,2
RIO CUMPRIDO,0,8,8
RIO DA PEDRAS,0,1,1
RIO DAS PDRAS,0,1,1
RIO DAS PEDRAS,0,179,179
RIO DE COMPRIDO,0,1,1
RIO DE JANEIRO,0,615,615
RIOMCOMPRIDO,0,1,1
RIOM DAS PEDRAS,0,1,1
RIO OCMPRIDO,0,1,1
RIO OMPRIDO,0,3,3
RIQCHUELO,0,1,1
RO,0,3,3
ROCCINHA,0,1,1
ROCHA,0,1,1
ROCHA MIIRANDA,0,4,4
ROCHA MIRANDA,0,3,3
ROCHA MITRANDA,0,5,5
ROCIANHA,0,3,3
ROCIHA,0,1,1
ROCINH,0,1,1
ROCINHA,0,8,8
ROC INHA,0,1,1
ROCINHA MATINHA DA ROCINHA,0,1,1
ROCINHJA,0,1,1
ROCINMHA,0,1,1
ROCNHA,0,1,1
RODHA MIRANDA,0,1,1
RODRIGO ROMUALDO DOS SANTOS SILVEIRO,0,1,1
ROICNHA,0,2,2
RUA,0,66,66
RUA CANDIDO MAGALHAES,0,1,1
RUA CHIQUINHA GONZAGA,0,1,1
RUA COMETA 4,0,1,1
RUA DIAMANTE DO NORTE,0,1,1
RUA FERNANDES DA CUNHA,0,1,1
RUA PROJETADA A,0,1,1
RUA TRINTA E UM DE JANEIRO N 1,0,1,1
RUA VIEIRA DE ARAUJO,0,1,1
RUSANTA CRUZ,0,1,1
Localidade nÃ£o preenchida,0,4,4
SA,0,5,5
SA0 CONRADO,0,3,3
SAANTA TERSA,0,4,4
SAANT CRUZ,0,1,1
SABNTA CRUZ,0,1,1
SABTA CRUZ,0,2,2
SAMAPIO,0,7,7
SAMPAIIO,0,1,1
SAMPAIO,0,1,1
SAMPAO,0,1,1
SAMPIAO,0,1,1
SAMTA CRUZ,0,2,2
SAMYA CRUZ,0,1,1
SAN,0,5,5
SANA CRUZ,0,2,2
SANADOR CAMARA,0,1,1
SANADOR VASCONCELOS,0,1,1
SANATA CRUZ,0,2,2
SANAT CRUZ,0,23,23
SANAT TERESA,0,1,1
SANISSIMO,0,1,1
SANMTISSIMO,0,1,1
SANNTA CRUZ,0,2,2
SANT,0,1,1
SANTA,0,31,31
SANTA ACRUZ,0,1,1
SANTA CANDIDA,0,1,1
SANTA CR,0,1,1
SANTA CRAUZ,0,1,1
SANTA CREUZ,0,1,1
SANTA CRIUZ,0,2,2
SANTA CRIZ,0,6,6
SANTA CRRUZ,0,2,2
SANTA CRU,0,3,3
SANTA CRUA,0,5,5
SANTA CRUCRUZ,0,1,1
SANTA CRUIZ,0,3,3
SANTA CRUS,0,1,1
SANTA CRUX,0,1,1
SANTACRUZ,0,2,2
SA NTA CRUZ,0,1,1
SANT ACRUZ,0,5,5
SANTA CRUZ,0,36,36
SANTA C RUZ,0,1,1
SANTA CRU Z,0,1,1
SANTA CRUZ241,0,1,1
SANTA CRUZ AREA NORMAL,0,1,1
SANTA CRUZ B,0,1,1
SANTA CRUZ CESARAO,0,1,1
SANTA CRUZN,0,2,2
SANTA CRUZ OUTROS,0,3,3
SANTA CRUZS,0,1,1
SANTA CRYUZ,0,2,2
SANTA CRZ,0,3,3
SANTA CRZU,0,1,1
SANTA CUZ,0,16,16
SANTA MARGARIDA,0,1,1
SANTA RUZ,0,1,1
SANTAS CRUZ,0,11,11
SANTATERESA,0,1,1
SAN TA TERESA,0,1,1
SANTA TERESA,0,3,3
SANTA TERESA B,0,4,4
SANTA TERESA R,0,1,1
SANTA TERESA RUA,0,1,1
SANTA TERESAS,0,1,1
SANTA TERESSA,0,1,1
SANTA TEREZA,0,15,15
SANTA TERSA,0,1,1
SANTA TERTESA,0,1,1
SANTA TRERESA,0,2,2
SANTA TRESA,0,2,2
SANTBISSIMO,0,1,1
SANT CRUZ,0,5,5
SANTERESA,0,1,1
SANTI,0,1,1
SANTISIMO,0,4,4
SANTISISMO,0,2,2
SANTISSIMO,0,5,5
SANTISSI MO,0,1,1
SANTISSIMO9,0,1,1
SANTISSIMO RU,0,1,1
SANTISSIO,0,1,1
SANTISSISMO,0,1,1
SANTISSMO,0,5,5
SANTISSO,0,1,1
SANTISSSIMO,0,4,4
SANTO,0,2,2
SANTO AMARO,0,1,1
SANTO CRISTO,0,2,2
SANTO CRISTTO,0,1,1
SANTO SANTOS,0,1,1
SANTOS CRISTO,0,6,6
SANTQ CRUZ,0,1,1
SANTRA CRUZ,0,1,1
SANTSSIMO,0,3,3
SAO CARLOS,0,3,3
SAO CONRAD0,0,1,1
SAO CONRADO,0,177,177
SAO CO NRADO,0,1,1
SAO CRISTIOVAO,0,1,1
SAO CRISTOVAAO,0,1,1
SAO CRISTOVAO,0,4,4
SAO CRISTOV AO,0,1,1
SAO CRISTOVAO A,0,1,1
SAO CRISTOVAQO,0,1,1
SAO CRITOVAO,0,3,3
SAO CRSITOVAO,0,1,1
SAO CRSTOVAO,0,1,1
SAO FRACISCO CHAVIER,0,1,1
SAO FRACISCO XAVIER,0,1,1
SAO FRANCICO XAVIER,0,2,2
SAO FRANCISCO,0,1,1
SAO FRANCISCO XAVIER,0,440,440
SAO FRNCISCO XAVIER,0,2,2
SAQBTA CRUZ,0,1,1
SATACRUZ,0,1,1
SATA CRUZ,0,6,6
SATANT CRUZ,0,1,1
SATA TERESA,0,1,1
SATISSIMO,0,2,2
SAUDE,0,416,416
SAUDO,0,1,1
SDENADOR VASCONCELOS,0,1,1
SE,0,1,1
SE3NADOR CAMARA,0,1,1
SE4NADOR CAMARA,0,1,1
SEANDOR CAMARA,0,1,1
SEENADOR VASCONCELOS,0,1,1
SEEPTIBA,0,5,5
SEETIBA,0,2,2
SENA,0,1,1
SENAADOR CAMARA,0,1,1
SENA CAMARA,0,1,1
SENADO CAMARA,0,3,3
SENADOE CAMARA,0,1,1
SENADOR,0,5,5
SENADOR AUGUSTO VASCONCELOS,0,3,3
SENADOR CAMAAR,0,1,1
SENADOR CAMAR,0,7,7
SEN ADOR CAMARA,0,3,3
SENADOR CAMARA,0,11,11
SENADOR CAM ARA,0,1,1
SENADOR CAMARAR,0,1,1
SENADOR CAMRA,0,4,4
SENADOR VACONCELOS,0,5,5
SENADOR VASCOCELOS,0,3,3
SENADOR VASCOCNELOS,0,6,6
SENADOR VASCONCELLOS,0,2,2
SENADOR VASCONCELO,0,1,1
SENADOR VASCONCELO9S,0,1,1
SENADOR VASCONCELOS,0,2,2
SENADOR VASCON CELOS,0,1,1
SENADOR VASCONCELOS RJ,0,1,1
SENADOR VASCONELOS,0,2,2
SENADOR VASONCELOS,0,2,2
SENADOS VASCONCELOS,0,1,1
SENADRO VASCONCELOS,0,3,3
SENANDOR CAMARA,0,1,1
SENANDOR VACCONCELOS,0,1,1
SENANDOR VASCONCELOS,0,2,2
SENARDOR CAMARA,0,1,1
SENASOR CAMARA,0,1,1
SENDOR CAMARA,0,2,2
SENDOR VASCONCELOS,0,2,2
SENNADOR CAMARA,0,1,1
SEN VASCONCELOS,0,1,1
SEPEIBA,0,1,1
SEPETBA,0,1,1
SEPETIA,0,3,3
SEPETIB,0,2,2
SEPETIBA,0,12,12
SEPETIBAQ,0,2,2
SEPETIBA RUA,0,1,1
SEPETIBASEPET,0,1,1
SEPTIBA,0,8,8
SERNADOR CAMARA,0,1,1
SITIO,0,1,1
SMPAIO,0,1,1
SNADOR VASCONCELOS,0,1,1
SNATA CRUZ,0,1,1
SNATISSIMO,0,2,2
SNEDOR CAMARA,0,1,1
SNTA CRUZ,0,3,3
SNTISSIMO,0,4,4
SOBRADO,0,1,1
SOSSEGO,0,1,1
SPEETIBA,0,1,1
SPETIBA,0,3,3
SSANTA TERESA,0,1,1
STA CRUZ,0,1,1
SUADE,0,1,1
SULACAP,0,9,9
SWANTA CRUZ,0,1,1
SZANTA TERESA,0,1,1
Localidade nÃ£o preenchida,0,9,9
TA,0,2,2
TAMQUE,0,1,1
TAN,0,1,1
TANQUE,0,3,3
TANQUIE,0,1,1
TAQNUE,0,1,1
TAQUARA,0,6,6
TAQUARA COLONIA,0,1,1
TAQUARA JACAREPAQUA,0,1,1
TAQUARAQ,0,1,1
TAQURA,0,5,5
TAU,0,2,2
TAUA,0,1,1
TEIXEIRA,0,1,1
TERRIO,0,1,1
THOMAS COELHO,0,5,5
THOMAZ COELHO,0,1,1
TI,0,1,1
TIJCUA,0,1,1
TIJUCA,0,3,3
TIJUCS,0,1,1
TIJUQUINHA,0,3,3
TIJUYCA,0,1,1
TIMAS COELHO,0,1,1
TIMBAU,0,1,1
TIUCA,0,1,1
TIUJCA,0,1,1
TODOS DOS SANTOS,0,1,1
TODOS OS SANTOS,0,518,518
TODOS SANTOS,0,1,1
TODOS SO SANTOS,0,1,1
TODOS SOS SANTOS,0,1,1
TOM,0,1,1
TOMAS COE,0,1,1
TOMAS COEL,0,1,1
TOMAS COELHO,0,2,2
TOMAS COELHPO,0,2,2
TOMAS COLEHO,0,3,3
TOMAZ COELHO,0,3,3
TRAVESSA,0,2,2
TRIAGEM,0,4,4
TRUACU,0,1,1
TUA,0,1,1
TUBIACANGA,0,5,5
TUIUTI,0,3,3
TURACU,0,1,1
TURANO,0,1,1
TURIA,0,2,2
TURIACU,0,1,1
TURICU,0,2,2
UJARDIM SULACAP,0,1,1
URCA,0,43,43
URU,0,1,1
URUCANIA,0,2,2
VALQUEIRE,0,1,1
VAQRGEM GRANDE,0,1,1
VARGEM GANDE,0,1,1
VARGEM GARNDE,0,2,2
VARGEM GRAND,0,1,1
VARGEM GRANDE,0,1,1
VARGEM GRANDEES,0,1,1
VARGEMPEQUENA,0,1,1
V ARGEM PEQUENA,0,2,2
VARGEM PEQUENA,0,3,3
VARGEM PEQUEN A,0,1,1
VARGEM PEQUNA,0,1,1
VARGEM PEQURENA,0,1,1
VAS,0,1,1
VASCO DA GAMA,0,1,1
VASCONCELOS,0,1,1
VAZ BOBO,0,1,1
VAZL LOBO,0,1,1
VAZ LOB,0,1,1
VAZLOBO,0,1,1
VAZ LOBO,0,1,1
VAZ LOBO 1,0,1,1
VAZ OBO,0,1,1
VENDA DE VARANDA,0,1,1
VI,0,2,2
VIA DA PENHA,0,1,1
VIAGARIO GERAL,0,1,1
VIA ISABEL,0,2,2
VIA KENNEDY,0,1,1
VIA KOSMOS,0,1,1
VICE,0,1,1
VICENTE CARVALHO,0,14,14
VICENTE DE CAERVALHO,0,1,1
VICENTE DE CARAVLHO,0,1,1
VICENTE DE CARVAHO,0,1,1
VICENTE DE CARVALHO,0,1,1
VICENTE DE CARVALO,0,1,1
VICENTE DE CARVLHO,0,1,1
VICENTE DE CRVALHO,0,1,1
VICENTE DER CARVALHO,0,1,1
VICNTE DE CARVCALHO,0,1,1
VIDIAGAL,0,1,1
VIDIGAL,0,1,1
VIDIGL,0,1,1
VIECENTE DE CARVALHO,0,1,1
VIGA,0,1,1
VIGARAL GERAL,0,1,1
VIGARIA,0,1,1
VIGARIA GERAL,0,2,2
VIGARI GERAL,0,1,1
VIGARIO,0,1,1
VIGARIO4 GERAL,0,1,1
VIGARIO GERAL,0,4,4
VIGARIO GERLA,0,1,1
VIGRIO GERAL,0,6,6
VIIDGAL,0,2,2
VILA,0,4,4
VILA ALIANCA,0,20,20
VILA CANOAS,0,4,4
VILA CANOAS SAO CONRADO,0,1,1
VILA CATIRI,0,1,1
VILA COSMO,0,1,1
VILA COSMOS,0,10,10
VILA CRUZEIRO,0,1,1
VILA DA PAZ,0,1,1
VILA DA PENA,0,1,1
VILA DA PENHA,0,455,455
VILA DO JOAO,0,2,2
VILA DO JOAO MARE,0,1,1
VILA DO PINHEIRO,0,4,4
VILA DO PINHEIRO MARE,0,1,1
VILA DOS PINHEIROS,0,2,2
VILA ELDORADO,0,1,1
VILA ENNEDY,0,1,1
VILA ESPERANCA,0,1,1
VILA ESPERANCA JARDIM AMERICA,0,1,1
VILAGE,0,2,2
VILA ISAB3L,0,1,1
VILA ISABAEL,0,1,1
VIL A ISABEL,0,10,10
VILA ISABEL,0,3,3
VILA I SABEL,0,1,1
VILA ISABL,0,2,2
VILA ISABRL,0,1,1
VILA ISAEBL,0,1,1
VILA ISBAEL,0,1,1
VIL A ISBEL,0,1,1
VILA ISBEL,0,1,1
VILA JUREMA,0,1,1
VILA KE,0,1,1
VILA KENEDY,0,4,4
VILA KENENDY,0,2,2
VILA KENNDEDY,0,1,1
VILA KENNDY,0,6,6
VILA KENNED,0,4,4
VILA KENNEDY,0,7,7
VILA KENNEDYES,0,1,1
VILA KENNENDY,0,12,12
VILA KENNNEDY,0,2,2
VILA KENNYDI,0,1,1
VILA KKENNEDY,0,1,1
VILA KOMOS,0,1,1
VILA KOSMO,0,7,7
VILA KOSMOS,0,731,731
VILA METRAL,0,1,1
VILA MILITAR,0,222,222
VILA MILLITAR,0,1,1
VILA PA PENHA,0,1,1
VILAR CARIOCA,0,1,1
VILA ROSALI,0,1,1
VILA SAPE,0,1,1
VILA VALQUEIRA,0,2,2
VILA VALQUEIRE,0,1,1
VILA VALQUIERE,0,1,1
VILA VERDE,0,1,1
VILA VINTEM,0,2,2
VIL KENNEDY,0,1,1
VILLAGE PAVUNA,0,1,1
VILLA KENNEDY,0,3,3
VILLA KOSMO,0,1,1
VILS KOSMOS,0,1,1
VIRGEM PEQUENA,0,1,1
VIS ALEGRE,0,1,1
VISTA ALEGRE,0,274,274
VIVIGARIO GERAL,0,4,4
VLA ISABEL,0,1,1
WANIELE SILVA DE OLIVEIRA,0,1,1
WESLEN CLAUDINO DA SILVA,0,1,1
WSSSSSDZX,0,1,1
Localidade nÃ£o preenchida,0,1,1
ZONA NORTE,0,1,1
ZUMBI,0,21,21
Localidade nÃ£o preenchida,0,9,9
Total,5,549,549
